1316576,,UTC,2024-12-09,12:30:00,5734,Muqdisho Stadium,Mogadishu,90,5,846,Somali Premier League,2024,Regular Season - 1,16809,Gaadiidka,15520,Horseed,0,2,0,1,,,,
1320841,,UTC,2024-12-09,12:30:00,,Centro Esportivo da Juventude,"Belém, Pará",90,,1157,Paraense U20,2024,Play-offs - Semi-finals,25016,Tuna Luso PA U20,20390,Remo U20,1,1,,,,,,
1214461,"Vasimir El Hatib, Bulgaria",UTC,2024-12-09,12:45:00,3511,Stadion Georgi Benkovski,Pazardzhik,90,6,172,First League,2024,Regular Season - 19,4659,Hebar 1918,1430,Arda Kardzhali,0,2,0,0,,,,
1201022,Ko Hyung-Jin,UTC,2024-12-09,13:00:00,21438,Lao National Stadium KM16,Vientiane,90,9,24,AFF Championship,2023,Group Stage - 1,1558,Laos,1542,Vietnam,1,4,0,0,,,,
1214693,D. Trifković,UTC,2024-12-09,13:00:00,19192,Stadion pod Kraljevicom,Zaječar,90,5,286,Super Liga,2024,Regular Season - 18,2633,OFK Beograd,2643,Novi Pazar,1,1,0,0,,,,
1284011,,UTC,2024-12-09,13:00:00,5608,The Arden Garages Stadium,"Stratford-upon-Avon, Warwickshire",90,4,703,Professional Development League,2024,Regular Season - 16,20078,Birmingham City U21,20097,Wigan Athletic U21,1,3,1,1,,,,
1302249,,UTC,2024-12-09,13:00:00,3150,Dire Dawa Stadium,Dire Dawa,90,5,363,Premier League,2024,Regular Season - 11,4112,Bahardar,4119,Kedus Giorgis,0,0,0,0,,,,
1284012,,UTC,2024-12-09,14:00:00,21224,Robins High Performance Centre,"Failand, Somerset",90,5,703,Professional Development League,2024,Regular Season - 16,20080,Bristol City U21,20079,Brentford U21,0,4,0,1,,,,
1298620,,UTC,2024-12-09,14:00:00,,Sardar Soleimani Stadium,Shahrebabak,90,8,290,Persian Gulf Pro League,2024,Regular Season - 8,2714,Gol Gohar,2737,Tractor Sazi,0,2,0,0,,,,
1206301,,UTC,2024-12-09,15:00:00,10501,Stadion Ivanjica,Ivanjica,90,10,287,Prva Liga,2024,Regular Season - 19,2653,Javor,14261,Mladost Novi Sad,1,0,1,0,,,,
1214460,"Volen Tsinkov, Bulgaria",UTC,2024-12-09,15:00:00,3512,Stadion Spartak,Varna,90,5,172,First League,2024,Regular Season - 19,4660,Spartak Varna,854,Slavia Sofia,1,3,0,1,,,,
1214697,M. Milenković,UTC,2024-12-09,15:00:00,7855,Stadion Lagator,Loznica,90,7,286,Super Liga,2024,Regular Season - 18,12316,IMT Novi Beograd,2655,Napredak,3,2,1,2,,,,
1261049,K. Umudlu,UTC,2024-12-09,15:00:00,4131,Şəhər stadionu,Tovuz,90,7,419,Premyer Liqa,2024,Regular Season - 16,5499,Turan,666,Keshla FC,3,2,1,2,,,,
1314428,,UTC,2024-12-09,15:00:00,3909,Godswill Akpabio International Stadium,Uyo,90,10,399,NPFL,2025,Regular Season - 16,5172,Akwa United,5173,Bendel Insurance,1,1,1,1,,,,
1253426,,UTC,2024-12-09,15:20:00,19932,King Abdulaziz Sports City Stadium,Mecca,90,,308,Division 1,2024,Regular Season - 13,2947,Jeddah Club,2930,Al-Faisaly FC,2,3,1,0,,,,
1220506,"Cristian Moldoveanu, Romania",UTC,2024-12-09,15:30:00,1894,Stadionul Municipal,Sibiu,90,5,283,Liga I,2024,Regular Season - 19,2579,AFC Hermannstadt,6886,Oţelul,1,0,1,0,,,,
1250595,"Konstantinos Katoikos, Greece",UTC,2024-12-09,15:30:00,2732,Stadio Apóstolos Nikolaidis,Athens,90,9,197,Super League 1,2024,Regular Season - 14,2095,Kallithea,957,Levadiakos,2,4,1,0,,,,
